Mention,DateTime,Station,Show
1,4/1/20,11,The Listening Post 2020 Ep  13
1,4/1/20,11,NEWS LIVE - 30
1,4/1/20,11,NEWSHOUR
1,4/1/20,11,NEWS LIVE - 30
1,4/1/20,11,NEWSHOUR
1,4/1/20,11,NEWSHOUR
1,4/1/20,11,NEWS LIVE - 30
1,4/1/20,11,Hungary - Europes Bad Boy
1,4/1/20,11,NEWSHOUR
1,4/1/20,11,NEWS LIVE - 30
1,4/1/20,11,NEWS LIVE - 30
1,4/1/20,11,NEWS LIVE - 30
1,4/1/20,11,NEWS LIVE - 30
1,4/1/20,11,NEWSHOUR
1,4/1/20,11,NEWSHOUR
1,4/1/20,11,NEWS LIVE - 30
1,4/1/20,11,NEWS LIVE - 30
1,4/1/20,11,NEWS LIVE - 30
1,4/1/20,11,Hungary - Europes Bad Boy
1,4/1/20,11,NEWS LIVE - 30
1,4/1/20,11,NEWS LIVE - 30
1,4/1/20,11,NEWS LIVE - 30
1,4/1/20,11,Inside Story 2020 Ep  92
1,4/1/20,11,The Listening Post 2020 Ep  13
1,4/1/20,11,NEWS LIVE - 30
1,4/1/20,11,The Stream 2019 Ep 193
1,4/1/20,11,NEWSHOUR
1,4/1/20,11,NEWSHOUR
1,4/1/20,11,NEWS LIVE - 30
1,4/1/20,11,NEWSHOUR
1,4/1/20,11,NEWSHOUR
1,4/1/20,11,NEWSHOUR
1,4/1/20,11,NEWSHOUR
1,4/1/20,11,NEWS LIVE - 30
1,4/1/20,11,NEWS LIVE - 30
1,4/1/20,11,NEWS LIVE - 30
1,4/1/20,11,NEWSHOUR
1,4/1/20,11,Hillbilly
1,4/1/20,11,NEWS LIVE - 30
1,4/1/20,11,NEWSHOUR
1,4/1/20,11,NEWSHOUR
1,4/1/20,11,NEWS LIVE - 30
1,4/1/20,11,NEWS LIVE - 30
1,4/1/20,11,NEWS LIVE - 30
1,4/1/20,11,NEWS LIVE - 30
1,4/1/20,11,NEWSHOUR
1,4/1/20,11,NEWSHOUR
1,4/1/20,11,NEWS LIVE - 30
1,4/1/20,11,Hungary - Europes Bad Boy
1,4/1/20,11,NEWS LIVE - 30
1,4/1/20,11,Hillbilly
1,4/1/20,11,NEWSHOUR
1,4/1/20,11,NEWSHOUR
1,4/1/20,11,NEWS LIVE - 30
1,4/1/20,11,NEWS LIVE - 30
